date,hour,minute,coin,volume,avg_price
2017-09-03,11,59,etc,363.39529999999991,21192.312935802973
2017-09-03,11,59,eth,69.371600000000015,380931.14069734578
2017-09-03,11,59,qtum,512.5297,17787.139812580623
2017-09-03,11,59,xrp,90744.709,247
2017-09-03,12,0,bch,1.1053,630000
2017-09-03,12,0,btc,0.6035,5051712.26180613
2017-09-03,12,0,etc,1078.4797,21063.157238842785
2017-09-03,12,0,eth,30.1738,381004.01971246576
2017-09-03,12,0,qtum,634.0928,17793.762644836843
2017-09-03,12,0,xrp,83964.53409999999,247.00708632527267
2017-09-03,12,1,bch,39.9045,626345.13400744286
2017-09-03,12,1,btc,0.0736,5050841.7119565224
2017-09-03,12,1,etc,1747.9686000000002,21114.6088825623
2017-09-03,12,1,eth,163.35000000000002,380348.19482705841
2017-09-03,12,1,qtum,1164.7742,17767.962632585783
2017-09-03,12,1,xrp,70800,248
2017-09-03,12,2,bch,1.9861,629000
2017-09-03,12,2,btc,0.0314,5049000.0000000009
2017-09-03,12,2,etc,88.0602,21029.26284519
2017-09-03,12,2,eth,58.6759,379768.95386351127
2017-09-03,12,2,qtum,215.6946,17764.636184679635
2017-09-03,12,2,xrp,558.5766,248
2017-09-03,12,3,btc,0.60000000000000009,5049041.666666666
2017-09-03,12,3,etc,693.5044,21005.027203864891
2017-09-03,12,3,eth,424.07520000000005,379041.81155842158
2017-09-03,12,3,qtum,791.8724,17752.519095248175
2017-09-03,12,3,xrp,33595.7987,246.99982159971688
2017-09-03,12,4,bch,0.5258,630500
2017-09-03,12,4,btc,4.466,5036428.3475145539
2017-09-03,12,4,etc,439.59129999999993,20945.899520759398
2017-09-03,12,4,eth,242.86370000000002,378429.58223069151
2017-09-03,12,4,qtum,4461.24,17715.0424312523
2017-09-03,12,4,xrp,89731.1513,246.35372525082047
2017-09-03,12,5,bch,9.8546,626282.9714042173
2017-09-03,12,5,btc,4.5123000000000006,5035020.3000687007
2017-09-03,12,5,etc,279.0101,20862.769706186267
2017-09-03,12,5,eth,417.24399999999997,378028.00061834307
2017-09-03,12,5,qtum,2910.6016999999997,17640.495493766804
2017-09-03,12,5,xrp,168532.62780000002,246.00000000000003
2017-09-03,12,6,bch,1.6006999999999998,627564.4530517899
2017-09-03,12,6,btc,11.5129,5035000
2017-09-03,12,6,etc,234.1798,20836.117145885342
2017-09-03,12,6,eth,115.12689999999998,377800.54157629545
2017-09-03,12,6,qtum,2727.0405,17604.686399046874
2017-09-03,12,6,xrp,15067.3167,246.66368818012569
2017-09-03,12,7,btc,8.4624999999999986,5025688.2186115216
2017-09-03,12,7,etc,4286.1015,20742.798562516549
2017-09-03,12,7,eth,326.2585,377138.95501573145
2017-09-03,12,7,qtum,1065.5618,17610
2017-09-03,12,7,xrp,64515.796600000009,246.07750039933629
2017-09-03,12,8,bch,31.3592,625083.34460062743
2017-09-03,12,8,btc,1.5150000000000001,5013064.9504950494
2017-09-03,12,8,etc,572.3512,20742.267682849273
2017-09-03,12,8,eth,187.4251,376524.85278119094
2017-09-03,12,8,qtum,6093.9465,17580.242901541718
2017-09-03,12,8,xrp,109627.97729999998,246.00005473055467
